,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1990,January,SAUGER FILLET FROZEN,CANADA,383,"2,193",1220,E,124,0304206035,34,"PEMBINA, ND",01
1990,March,SAUGER FILLET FROZEN,CANADA,442,"1,458",1220,E,124,0304206035,34,"PEMBINA, ND",03
1990,June,SAUGER FILLET FROZEN,CANADA,"5,169","14,320",1220,E,124,0304206035,34,"PEMBINA, ND",06
1990,July,SAUGER FILLET FROZEN,CANADA,"2,737","17,466",1220,E,124,0304206035,34,"PEMBINA, ND",07
1990,August,SAUGER FILLET FROZEN,CANADA,"3,745","8,877",1220,E,124,0304206035,34,"PEMBINA, ND",08
1990,September,SAUGER FILLET FROZEN,CANADA,"1,189","3,892",1220,E,124,0304206035,34,"PEMBINA, ND",09
1990,September,SAUGER FILLET FROZEN,SINGAPORE,"14,477","70,712",5590,E,702,0304206035,28,"SAN FRANCISCO, CA",09
1990,October,SAUGER FILLET FROZEN,CANADA,"4,225","23,620",1220,E,124,0304206035,34,"PEMBINA, ND",10
1990,November,SAUGER FILLET FROZEN,CANADA,737,"2,433",1220,E,124,0304206035,34,"PEMBINA, ND",11
1991,January,SAUGER FILLET FROZEN,CANADA,"1,523","3,376",1220,E,124,0304206035,34,"PEMBINA, ND",01
1991,January,SAUGER FILLET FROZEN,CANADA,"1,361","9,750",1220,E,124,0304206035,38,"DETROIT, MI",01
1991,February,SAUGER FILLET FROZEN,CANADA,"4,357","25,489",1220,E,124,0304206035,34,"PEMBINA, ND",02
1991,February,SAUGER FILLET FROZEN,CANADA,227,"1,625",1220,E,124,0304206035,38,"DETROIT, MI",02
1991,March,SAUGER FILLET FROZEN,CANADA,299,"2,306",1220,E,124,0304206035,34,"PEMBINA, ND",03
1991,March,SAUGER FILLET FROZEN,CANADA,499,"3,575",1220,E,124,0304206035,38,"DETROIT, MI",03
1991,April,SAUGER FROZEN,THAILAND,"13,330","24,776",5490,E,764,0303792075,27,"LOS ANGELES, CA",04
1991,April,SAUGER FILLET FROZEN,CANADA,"1,422","5,802",1220,E,124,0304206035,34,"PEMBINA, ND",04
1991,April,SAUGER FILLET FROZEN,CANADA,572,"7,000",1220,E,124,0304206035,38,"DETROIT, MI",04
1991,June,SAUGER FILLET FROZEN,CANADA,501,"1,433",1220,E,124,0304206035,34,"PEMBINA, ND",06
1991,July,SAUGER FILLET FROZEN,CANADA,"3,154","26,371",1220,E,124,0304206035,34,"PEMBINA, ND",07
1991,August,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"2,996","9,828",1220,E,124,0304202038,01,"PORTLAND, ME",08
1991,September,SAUGER FILLET FROZEN,CANADA,"2,435","23,053",1220,E,124,0304206035,34,"PEMBINA, ND",09
1991,October,SAUGER FILLET FROZEN,CANADA,"3,515","29,967",1220,E,124,0304206035,34,"PEMBINA, ND",10
1991,November,SAUGER FILLET FROZEN,CANADA,"3,015","25,237",1220,E,124,0304206035,34,"PEMBINA, ND",11
1991,December,SAUGER FILLET FROZEN,CANADA,"1,996","20,215",1220,E,124,0304206035,34,"PEMBINA, ND",12
1992,January,SAUGER FILLET FROZEN,CANADA,"1,975","5,650",1220,E,124,0304206035,34,"PEMBINA, ND",01
1992,February,SAUGER FILLET FROZEN,CANADA,"1,887","5,399",1220,E,124,0304206035,34,"PEMBINA, ND",02
1992,March,SAUGER FROZEN,CANADA,45,"1,625",1220,E,124,0303792075,38,"DETROIT, MI",03
1992,March,SAUGER FILLET FROZEN,CANADA,"2,742","7,844",1220,E,124,0304206035,34,"PEMBINA, ND",03
1992,June,SAUGER FILLET FROZEN,CANADA,599,"6,067",1220,E,124,0304206035,34,"PEMBINA, ND",06
1992,July,SAUGER FILLET FROZEN,CANADA,"8,875","61,862",1220,E,124,0304206035,34,"PEMBINA, ND",07
1992,August,SAUGER FILLET FROZEN,CANADA,"2,136","15,940",1220,E,124,0304206035,34,"PEMBINA, ND",08
1992,September,SAUGER FILLET FROZEN,CANADA,"4,744","37,730",1220,E,124,0304206035,34,"PEMBINA, ND",09
1992,September,SAUGER FILLET FROZEN,SWEDEN,170,"2,182",4010,E,752,0304206035,10,"NEW YORK, NY",09
1992,October,SAUGER FILLET FROZEN,CANADA,"2,089","10,142",1220,E,124,0304206035,34,"PEMBINA, ND",10
1992,November,SAUGER FROZEN,CANADA,"1,075","9,121",1220,E,124,0303792075,38,"DETROIT, MI",11
1992,November,SAUGER FILLET FROZEN,CANADA,471,"1,349",1220,E,124,0304206035,34,"PEMBINA, ND",11
1992,November,SAUGER FILLET FROZEN,SWEDEN,147,"1,946",4010,E,752,0304206035,10,"NEW YORK, NY",11
1992,December,SAUGER FILLET FROZEN,CANADA,"2,468","15,412",1220,E,124,0304206035,34,"PEMBINA, ND",12
1993,January,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"104,181","143,572",5700,E,156,0304202038,10,"NEW YORK, NY",01
1993,January,SAUGER FILLET FROZEN,CANADA,"1,048","4,933",1220,E,124,0304206035,34,"PEMBINA, ND",01
1993,February,SAUGER FILLET FROZEN,CANADA,"4,811","36,314",1220,E,124,0304206035,34,"PEMBINA, ND",02
1993,February,SAUGER FILLET FROZEN,CANADA,454,"4,350",1220,E,124,0304206035,38,"DETROIT, MI",02
1993,March,SAUGER FROZEN,CANADA,998,"9,570",1220,E,124,0303792075,38,"DETROIT, MI",03
1993,March,SAUGER FILLET FROZEN,CANADA,379,"2,923",1220,E,124,0304206035,34,"PEMBINA, ND",03
1993,April,SAUGER FILLET FROZEN,CANADA,560,"1,603",1220,E,124,0304206035,34,"PEMBINA, ND",04
1993,June,SAUGER FILLET FROZEN,CANADA,539,"3,918",1220,E,124,0304206035,34,"PEMBINA, ND",06
1993,July,SAUGER FILLET FROZEN,CANADA,"1,680","10,443",1220,E,124,0304206035,34,"PEMBINA, ND",07
1993,October,SAUGER FROZEN,CANADA,"1,319","11,709",1220,E,124,0303792075,38,"DETROIT, MI",10
1993,October,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,227,"2,000",1220,E,124,0304202038,38,"DETROIT, MI",10
1993,October,SAUGER FILLET FROZEN,CANADA,"1,459","8,954",1220,E,124,0304206035,34,"PEMBINA, ND",10
1993,October,SAUGER FILLET FROZEN,CANADA,"4,029","37,425",1220,E,124,0304206035,38,"DETROIT, MI",10
1993,October,SAUGER FILLET FROZEN,NEW ZEALAND,"16,780","129,954",6141,E,554,0304206035,11,"PHILADELPHIA, PA",10
1993,November,SAUGER FILLET FROZEN,CANADA,"1,517","11,028",1220,E,124,0304206035,34,"PEMBINA, ND",11
1993,November,SAUGER FILLET FROZEN,CANADA,469,"3,826",1220,E,124,0304206035,38,"DETROIT, MI",11
1993,December,SAUGER FILLET FROZEN,CANADA,"1,018","7,404",1220,E,124,0304206035,34,"PEMBINA, ND",12
1993,December,SAUGER FILLET FROZEN,CANADA,"1,497","11,529",1220,E,124,0304206035,38,"DETROIT, MI",12
1994,January,SAUGER FILLET FROZEN,CANADA,"1,032","4,094",1220,E,124,0304206035,34,"PEMBINA, ND",01
1994,January,SAUGER FILLET FROZEN,CANADA,"5,685","50,156",1220,E,124,0304206035,38,"DETROIT, MI",01
1994,February,SAUGER FILLET FROZEN,CANADA,"1,971","19,621",1220,E,124,0304206035,38,"DETROIT, MI",02
1994,March,SAUGER FILLET FROZEN,CANADA,"1,134","11,875",1220,E,124,0304206035,38,"DETROIT, MI",03
1994,April,SAUGER FILLET FROZEN,CANADA,344,"2,808",1220,E,124,0304206035,38,"DETROIT, MI",04
1994,June,SAUGER FILLET FROZEN,CANADA,"16,696","163,699",1220,E,124,0304206035,34,"PEMBINA, ND",06
1994,June,SAUGER FILLET FROZEN,CANADA,"7,759","68,379",1220,E,124,0304206035,38,"DETROIT, MI",06
1994,July,SAUGER FILLET FROZEN,CANADA,"14,275","137,498",1220,E,124,0304206035,34,"PEMBINA, ND",07
1994,July,SAUGER FILLET FROZEN,CANADA,604,"5,815",1220,E,124,0304206035,38,"DETROIT, MI",07
1994,August,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"49,846","45,335",5700,E,156,0304202038,10,"NEW YORK, NY",08
1994,August,SAUGER FILLET FROZEN,CANADA,329,"4,175",1220,E,124,0304206035,38,"DETROIT, MI",08
1994,September,SAUGER FILLET FROZEN,CANADA,"18,602","188,731",1220,E,124,0304206035,34,"PEMBINA, ND",09
1994,September,SAUGER FILLET FROZEN,CANADA,"8,631","93,974",1220,E,124,0304206035,38,"DETROIT, MI",09
1994,October,SAUGER FILLET FROZEN,CANADA,"13,681","124,334",1220,E,124,0304206035,38,"DETROIT, MI",10
1994,November,SAUGER FILLET FROZEN,CANADA,"33,638","352,267",1220,E,124,0304206035,34,"PEMBINA, ND",11
1994,December,SAUGER FILLET FROZEN,CANADA,"5,425","52,762",1220,E,124,0304206035,34,"PEMBINA, ND",12
1994,December,SAUGER FILLET FROZEN,CANADA,"3,324","32,968",1220,E,124,0304206035,38,"DETROIT, MI",12
1995,January,SAUGER FILLET FROZEN,CANADA,"6,559","63,507",1220,E,124,0304206035,34,"PEMBINA, ND",01
1995,February,SAUGER FILLET FROZEN,CANADA,"5,069","52,101",1220,E,124,0304206035,34,"PEMBINA, ND",02
1995,February,SAUGER FILLET FROZEN,CANADA,"8,881","95,117",1220,E,124,0304206035,38,"DETROIT, MI",02
1995,March,SAUGER FILLET FROZEN,CANADA,"19,223","208,400",1220,E,124,0304206035,34,"PEMBINA, ND",03
1995,March,SAUGER FILLET FROZEN,CANADA,"1,157","10,208",1220,E,124,0304206035,38,"DETROIT, MI",03
1995,April,SAUGER FILLET FROZEN,CANADA,549,"5,203",1220,E,124,0304206035,38,"DETROIT, MI",04
1995,June,SAUGER FILLET FROZEN,CANADA,"7,204","80,960",1220,E,124,0304206035,34,"PEMBINA, ND",06
1995,July,SAUGER FILLET FROZEN,CANADA,"25,273","244,331",1220,E,124,0304206035,34,"PEMBINA, ND",07
1995,July,SAUGER FILLET FROZEN,CANADA,"2,072","23,707",1220,E,124,0304206035,38,"DETROIT, MI",07
1995,August,SAUGER FROZEN,CANADA,"12,474","32,983",1220,E,124,0303792075,09,"BUFFALO, NY",08
1995,August,SAUGER FILLET FROZEN,CANADA,"3,625","40,556",1220,E,124,0304206035,34,"PEMBINA, ND",08
1995,September,SAUGER FROZEN,CANADA,200,"2,420",1220,E,124,0303792075,38,"DETROIT, MI",09
1995,September,SAUGER FILLET FROZEN,CANADA,"6,604","74,118",1220,E,124,0304206035,34,"PEMBINA, ND",09
1995,September,SAUGER FILLET FROZEN,CANADA,"1,177","11,352",1220,E,124,0304206035,38,"DETROIT, MI",09
1995,October,SAUGER FILLET FROZEN,CANADA,"15,204","169,596",1220,E,124,0304206035,34,"PEMBINA, ND",10
1995,November,SAUGER FILLET FROZEN,CANADA,"11,628","129,165",1220,E,124,0304206035,34,"PEMBINA, ND",11
1995,December,SAUGER FILLET FROZEN,CANADA,"1,637","19,294",1220,E,124,0304206035,34,"PEMBINA, ND",12
1996,January,SAUGER FILLET FROZEN,CANADA,"1,088","2,945",1220,E,124,0304206035,09,"BUFFALO, NY",01
1996,January,SAUGER FILLET FROZEN,CANADA,"4,970","46,859",1220,E,124,0304206035,34,"PEMBINA, ND",01
1996,January,SAUGER FILLET FROZEN,CANADA,684,"6,028",1220,E,124,0304206035,38,"DETROIT, MI",01
1996,February,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"2,570","26,613",1220,E,124,0304202038,38,"DETROIT, MI",02
1996,February,SAUGER FILLET FROZEN,CANADA,"8,285","81,140",1220,E,124,0304206035,34,"PEMBINA, ND",02
1996,February,SAUGER FILLET FROZEN,CANADA,"1,905","19,530",1220,E,124,0304206035,38,"DETROIT, MI",02
1996,March,SAUGER FILLET FROZEN,CANADA,"10,749","115,945",1220,E,124,0304206035,34,"PEMBINA, ND",03
1996,April,SAUGER FILLET FROZEN,CANADA,"11,918","134,801",1220,E,124,0304206035,34,"PEMBINA, ND",04
1996,May,SAUGER FILLET FROZEN,CANADA,"4,431","46,648",1220,E,124,0304206035,34,"PEMBINA, ND",05
1996,July,SAUGER FILLET FROZEN,CANADA,"30,576","324,948",1220,E,124,0304206035,34,"PEMBINA, ND",07
1996,August,SAUGER FILLET FROZEN,CANADA,"11,560","101,787",1220,E,124,0304206035,34,"PEMBINA, ND",08
1996,August,SAUGER FILLET FROZEN,CANADA,150,"1,650",1220,E,124,0304206035,38,"DETROIT, MI",08
1996,September,SAUGER FILLET FROZEN,CANADA,"8,906","92,382",1220,E,124,0304206035,34,"PEMBINA, ND",09
1996,September,SAUGER FILLET FROZEN,CANADA,813,"8,965",1220,E,124,0304206035,38,"DETROIT, MI",09
1996,October,SAUGER FROZEN,CANADA,"1,017","8,168",1220,E,124,0303792075,38,"DETROIT, MI",10
1996,October,SAUGER FILLET FROZEN,CANADA,"7,570","77,379",1220,E,124,0304206035,34,"PEMBINA, ND",10
1996,October,SAUGER FILLET FROZEN,CANADA,659,"7,436",1220,E,124,0304206035,38,"DETROIT, MI",10
1996,November,SAUGER FILLET FROZEN,CANADA,499,"6,050",1220,E,124,0304206035,38,"DETROIT, MI",11
1996,December,SAUGER FROZEN,CANADA,699,"7,928",1220,E,124,0303792075,34,"PEMBINA, ND",12
1996,December,SAUGER FILLET FROZEN,CANADA,"7,717","79,826",1220,E,124,0304206035,34,"PEMBINA, ND",12
1996,December,SAUGER FILLET FROZEN,CANADA,150,"1,815",1220,E,124,0304206035,38,"DETROIT, MI",12
1997,January,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"1,436","16,957",1220,E,124,0304202038,38,"DETROIT, MI",01
1997,January,SAUGER FILLET FROZEN,CANADA,"24,221","223,026",1220,E,124,0304206035,34,"PEMBINA, ND",01
1997,January,SAUGER FILLET FROZEN,CANADA,"1,722","20,543",1220,E,124,0304206035,38,"DETROIT, MI",01
1997,February,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"1,955","18,326",1220,E,124,0304202038,38,"DETROIT, MI",02
1997,February,SAUGER FILLET FROZEN,CANADA,"12,615","132,542",1220,E,124,0304206035,34,"PEMBINA, ND",02
1997,February,SAUGER FILLET FROZEN,CANADA,998,"4,437",1220,E,124,0304206035,38,"DETROIT, MI",02
1997,March,SAUGER FROZEN,CANADA,263,"1,560",1220,E,124,0303792075,38,"DETROIT, MI",03
1997,March,SAUGER FILLET FROZEN,CANADA,"13,354","140,058",1220,E,124,0304206035,34,"PEMBINA, ND",03
1997,March,SAUGER FILLET FROZEN,CANADA,250,"2,750",1220,E,124,0304206035,38,"DETROIT, MI",03
1997,April,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,963,"5,695",1220,E,124,0304202038,38,"DETROIT, MI",04
1997,April,SAUGER FILLET FROZEN,CANADA,"2,096","23,091",1220,E,124,0304206035,34,"PEMBINA, ND",04
1997,May,SAUGER FROZEN,CANADA,545,"5,000",1220,E,124,0303792075,38,"DETROIT, MI",05
1997,May,SAUGER FILLET FROZEN,CANADA,"19,822","196,834",1220,E,124,0304206035,34,"PEMBINA, ND",05
1997,June,SAUGER FILLET FROZEN,CANADA,"9,134","89,121",1220,E,124,0304206035,34,"PEMBINA, ND",06
1997,July,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,473,"5,239",1220,E,124,0304202038,38,"DETROIT, MI",07
1997,July,SAUGER FILLET FROZEN,CANADA,"7,934","76,145",1220,E,124,0304206035,34,"PEMBINA, ND",07
1997,August,SAUGER FILLET FROZEN,CANADA,"15,027","151,266",1220,E,124,0304206035,34,"PEMBINA, ND",08
1997,August,SAUGER FILLET FROZEN,CANADA,279,"3,080",1220,E,124,0304206035,38,"DETROIT, MI",08
1997,September,SAUGER FROZEN,CANADA,"3,460","11,268",1220,E,124,0303792075,38,"DETROIT, MI",09
1997,September,SAUGER FILLET FROZEN,CANADA,"12,744","127,111",1220,E,124,0304206035,34,"PEMBINA, ND",09
1997,October,SAUGER FROZEN,CANADA,733,"2,420",1220,E,124,0303792075,38,"DETROIT, MI",10
1997,October,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"2,619","28,875",1220,E,124,0304202038,38,"DETROIT, MI",10
1997,October,SAUGER FILLET FROZEN,CANADA,"16,016","153,512",1220,E,124,0304206035,34,"PEMBINA, ND",10
1997,November,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,822,"9,182",1220,E,124,0304202038,38,"DETROIT, MI",11
1997,November,SAUGER FILLET FROZEN,CANADA,"18,925","183,653",1220,E,124,0304206035,34,"PEMBINA, ND",11
1997,December,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,317,"3,045",1220,E,124,0304202038,38,"DETROIT, MI",12
1997,December,SAUGER FILLET FROZEN,CANADA,"12,324","92,941",1220,E,124,0304206035,34,"PEMBINA, ND",12
1997,December,SAUGER FILLET FROZEN,CANADA,274,"3,086",1220,E,124,0304206035,38,"DETROIT, MI",12
1998,January,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,527,"6,980",1220,E,124,0304202038,38,"DETROIT, MI",01
1998,January,SAUGER FILLET FROZEN,CANADA,"22,269","199,374",1220,E,124,0304206035,34,"PEMBINA, ND",01
1998,January,SAUGER FILLET FROZEN,CANADA,370,"4,152",1220,E,124,0304206035,38,"DETROIT, MI",01
1998,February,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,533,"5,888",1220,E,124,0304202038,38,"DETROIT, MI",02
1998,February,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"23,950","32,208",5700,E,156,0304202038,14,"NORFOLK, VA",02
1998,February,SAUGER FILLET FROZEN,CANADA,"4,074","17,769",1220,E,124,0304206035,34,"PEMBINA, ND",02
1998,March,SAUGER FROZEN,CANADA,324,"4,004",1220,E,124,0303792075,38,"DETROIT, MI",03
1998,March,SAUGER FILLET FROZEN,CANADA,"11,139","108,520",1220,E,124,0304206035,34,"PEMBINA, ND",03
1998,March,SAUGER FILLET FROZEN,CANADA,374,"4,207",1220,E,124,0304206035,38,"DETROIT, MI",03
1998,April,SAUGER FILLET FROZEN,CANADA,"6,286","54,734",1220,E,124,0304206035,34,"PEMBINA, ND",04
1998,May,SAUGER FILLET FROZEN,CANADA,"11,981","113,097",1220,E,124,0304206035,34,"PEMBINA, ND",05
1998,May,SAUGER FILLET FROZEN,CANADA,639,"6,820",1220,E,124,0304206035,38,"DETROIT, MI",05
1998,June,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,418,"4,528",1220,E,124,0304202038,38,"DETROIT, MI",06
1998,June,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"44,904","54,900",5700,E,156,0304202038,14,"NORFOLK, VA",06
1998,June,SAUGER FILLET FROZEN,CANADA,"12,276","119,466",1220,E,124,0304206035,34,"PEMBINA, ND",06
1998,June,SAUGER FILLET FROZEN,CANADA,280,"1,716",1220,E,124,0304206035,38,"DETROIT, MI",06
1998,July,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"95,798","132,780",5700,E,156,0304202038,14,"NORFOLK, VA",07
1998,July,SAUGER FILLET FROZEN,CANADA,"20,039","197,974",1220,E,124,0304206035,34,"PEMBINA, ND",07
1998,August,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,544,"6,540",1220,E,124,0304202038,38,"DETROIT, MI",08
1998,August,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"47,899","63,360",5700,E,156,0304202038,14,"NORFOLK, VA",08
1998,August,SAUGER FILLET FROZEN,CANADA,"19,324","191,855",1220,E,124,0304206035,34,"PEMBINA, ND",08
1998,August,SAUGER FILLET FROZEN,CANADA,"1,597","16,368",1220,E,124,0304206035,38,"DETROIT, MI",08
1998,September,SAUGER FILLET FROZEN,CANADA,"27,190","245,124",1220,E,124,0304206035,34,"PEMBINA, ND",09
1998,October,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"47,899","73,920",5700,E,156,0304202038,14,"NORFOLK, VA",10
1998,October,SAUGER FILLET FROZEN,CANADA,"11,569","113,524",1220,E,124,0304206035,34,"PEMBINA, ND",10
1998,October,SAUGER FILLET FROZEN,CANADA,299,"3,135",1220,E,124,0304206035,38,"DETROIT, MI",10
1998,November,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"1,038","12,584",1220,E,124,0304202038,38,"DETROIT, MI",11
1998,November,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"47,899","63,360",5700,E,156,0304202038,14,"NORFOLK, VA",11
1998,November,SAUGER FILLET FROZEN,CANADA,"27,998","246,962",1220,E,124,0304206035,34,"PEMBINA, ND",11
1998,November,SAUGER FILLET FROZEN,CANADA,822,"8,620",1220,E,124,0304206035,38,"DETROIT, MI",11
1998,December,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,464,"5,627",1220,E,124,0304202038,38,"DETROIT, MI",12
1998,December,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CHINA,"47,899","60,496",5700,E,156,0304202038,14,"NORFOLK, VA",12
1998,December,SAUGER FILLET FROZEN,CANADA,"15,322","153,686",1220,E,124,0304206035,34,"PEMBINA, ND",12
1998,December,SAUGER FILLET FROZEN,CANADA,"2,243","19,196",1220,E,124,0304206035,38,"DETROIT, MI",12
1999,January,SAUGER FROZEN,CANADA,499,"4,950",1220,E,124,0303792075,38,"DETROIT, MI",01
1999,January,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"3,457","13,897",1220,E,124,0304202038,38,"DETROIT, MI",01
1999,January,SAUGER FILLET FROZEN,CANADA,"8,627","78,971",1220,E,124,0304206035,34,"PEMBINA, ND",01
1999,January,SAUGER FILLET FROZEN,CANADA,"2,864","27,779",1220,E,124,0304206035,38,"DETROIT, MI",01
1999,February,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,235,"2,331",1220,E,124,0304202038,38,"DETROIT, MI",02
1999,February,SAUGER FILLET FROZEN,CANADA,"17,457","168,891",1220,E,124,0304206035,34,"PEMBINA, ND",02
1999,February,SAUGER FILLET FROZEN,CANADA,"1,393","7,674",1220,E,124,0304206035,38,"DETROIT, MI",02
1999,March,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,249,"2,475",1220,E,124,0304202038,38,"DETROIT, MI",03
1999,March,SAUGER FILLET FROZEN,CANADA,"10,346","102,767",1220,E,124,0304206035,34,"PEMBINA, ND",03
1999,March,SAUGER FILLET FROZEN,CANADA,"3,829","38,032",1220,E,124,0304206035,38,"DETROIT, MI",03
1999,April,SAUGER FILLET FROZEN,CANADA,983,"9,535",1220,E,124,0304206035,38,"DETROIT, MI",04
1999,May,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,748,"7,260",1220,E,124,0304202038,38,"DETROIT, MI",05
1999,May,SAUGER FILLET FROZEN,CANADA,"1,533","6,082",1220,E,124,0304206035,34,"PEMBINA, ND",05
1999,May,SAUGER FILLET FROZEN,CANADA,"1,891","18,140",1220,E,124,0304206035,38,"DETROIT, MI",05
1999,June,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,696,"6,447",1220,E,124,0304202038,38,"DETROIT, MI",06
1999,June,SAUGER FILLET FROZEN,CANADA,"3,592","36,340",1220,E,124,0304206035,38,"DETROIT, MI",06
1999,July,SAUGER FROZEN,CANADA,"1,701","3,368",1220,E,124,0303792075,34,"PEMBINA, ND",07
1999,July,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"1,621","8,540",1220,E,124,0304202038,38,"DETROIT, MI",07
1999,July,SAUGER FILLET FROZEN,CANADA,"13,727","137,835",1220,E,124,0304206035,34,"PEMBINA, ND",07
1999,July,SAUGER FILLET FROZEN,CANADA,"1,258","17,958",1220,E,124,0304206035,38,"DETROIT, MI",07
1999,August,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,299,"2,805",1220,E,124,0304202038,38,"DETROIT, MI",08
1999,August,SAUGER FILLET FROZEN,CANADA,"1,158","8,525",1220,E,124,0304206035,34,"PEMBINA, ND",08
1999,August,SAUGER FILLET FROZEN,CANADA,299,"2,871",1220,E,124,0304206035,38,"DETROIT, MI",08
1999,September,SAUGER FROZEN,CANADA,449,"4,603",1220,E,124,0303792075,38,"DETROIT, MI",09
1999,September,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"1,693","15,860",1220,E,124,0304202038,38,"DETROIT, MI",09
1999,September,SAUGER FILLET FROZEN,CANADA,907,"5,240",1220,E,124,0304206035,01,"PORTLAND, ME",09
1999,September,SAUGER FILLET FROZEN,CANADA,"2,404","23,896",1220,E,124,0304206035,38,"DETROIT, MI",09
1999,October,SAUGER FILLET FROZEN,CANADA,"14,627","140,743",1220,E,124,0304206035,34,"PEMBINA, ND",10
1999,October,SAUGER FILLET FROZEN,CANADA,"1,795","17,400",1220,E,124,0304206035,38,"DETROIT, MI",10
1999,November,SAUGER FILLET FROZEN,CANADA,"19,346","168,840",1220,E,124,0304206035,34,"PEMBINA, ND",11
1999,November,SAUGER FILLET FROZEN,CANADA,"3,254","33,898",1220,E,124,0304206035,38,"DETROIT, MI",11
1999,December,SAUGER FILLET FROZEN,CANADA,"6,680","54,936",1220,E,124,0304206035,34,"PEMBINA, ND",12
2000,January,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,417,"4,370",1220,E,124,0304202038,38,"DETROIT, MI",01
2000,January,SAUGER FILLET FROZEN,CANADA,"6,726","66,682",1220,E,124,0304206035,34,"PEMBINA, ND",01
2000,January,SAUGER FILLET FROZEN,CANADA,"10,603","108,752",1220,E,124,0304206035,38,"DETROIT, MI",01
2000,February,SAUGER FILLET FROZEN,CANADA,"18,155","170,063",1220,E,124,0304206035,34,"PEMBINA, ND",02
2000,February,SAUGER FILLET FROZEN,CANADA,"1,744","17,709",1220,E,124,0304206035,38,"DETROIT, MI",02
2000,March,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"2,267","22,500",1220,E,124,0304202038,38,"DETROIT, MI",03
2000,March,SAUGER FILLET FROZEN,CANADA,"1,397","14,938",1220,E,124,0304206035,09,"BUFFALO, NY",03
2000,March,SAUGER FILLET FROZEN,CANADA,"2,755","26,557",1220,E,124,0304206035,34,"PEMBINA, ND",03
2000,April,SAUGER FROZEN,CANADA,"3,402","7,718",1220,E,124,0303792075,34,"PEMBINA, ND",04
2000,April,SAUGER FILLET FROZEN,CANADA,"9,727","86,562",1220,E,124,0304206035,34,"PEMBINA, ND",04
2000,April,SAUGER FILLET FROZEN,CANADA,922,"10,092",1220,E,124,0304206035,38,"DETROIT, MI",04
2000,May,SAUGER FROZEN,CANADA,"14,147","23,512",1220,E,124,0303792075,34,"PEMBINA, ND",05
2000,May,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,724,"6,707",1220,E,124,0304202038,38,"DETROIT, MI",05
2000,May,SAUGER FILLET FROZEN,CANADA,978,"10,126",1220,E,124,0304206035,34,"PEMBINA, ND",05
2000,May,SAUGER FILLET FROZEN,CANADA,"1,234","12,076",1220,E,124,0304206035,38,"DETROIT, MI",05
2000,June,SAUGER FROZEN,CANADA,552,"5,177",1220,E,124,0303792075,38,"DETROIT, MI",06
2000,June,SAUGER FILLET BLOCKS FROZEN > 4.5KG,CANADA,"2,179","20,175",1220,E,124,0304202038,38,"DETROIT, MI",06
2000,June,SAUGER FILLET FROZEN,CANADA,"3,832","41,796",1220,E,124,0304206035,34,"PEMBINA, ND",06
2000,June,SAUGER FILLET FROZEN,CANADA,"2,051","23,295",1220,E,124,0304206035,38,"DETROIT, MI",06
